Şirket İsmi,Arz Tarihi,Arz Şekli,Fonun Kullanım Yeri,Fiyat İstikrarı,Satmama Taahhüdü,Halka Açıklık Oranı,Şehir,Kuruluş Yılı,Gelir Tablosu Verileri
Arf Bio Yenilenebilir Enerji Üretim A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 35.500.000 Lot
                    - Ortak Satışı : 11.500.000 Lot (Re-Pie Portföy Yönetimi A.Ş. Arf Girişim Sermayesi Yatırım Fonu)
* Taslak İzahname, Sayfa 1.
","
                    - %15-20 Mikro alg yatırımının finansmanı. 
                    - %20-25 Sera yatırımının finansmanı. 
                    - %10-15 Güneş Enerjisi Santrali (GES) yatırımlarının finansmanı. 
                    - %20-25 Hammadde tedariki ve işletme sermayesi finansmanı. 
                    - %20-25 Finansal ve cari borç ödemeleri. 
* Taslak İzahname, Sayfa 170.
","
","
                    - Planlanmamaktadır. 
* Taslak İzahname, Sayfa 167.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 169.
",Şehir : Ankara,Kuruluş Tarihi : 2016,"; - Hasılat, 272,8 Milyon TL, 150,7 Milyon TL, 442,0 Milyon TL; - Brüt Kâr, 113,3 Milyon TL, 31,8 Milyon TL, 363,6 Milyon TL"
Dct Trading Dış Ticaret A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 30.000.000 Lot
                    - Ortak Satışı : 7.500.000 Lot (Levent Sadık Amet (Sadık Ahmet))
* Taslak İzahname, Sayfa 1.
","
                    - %40 Çırçır fabrikası, depo ve ekipmanları yatırımı. 
                    - %10 Çeşitli şirketlerin paylarının satın alınması ve/veya iştirak edilmesi ve/veya yeni ortaklıklar kurulması. 
                    - %10 Üretim kapasite ve verimlilik artırımı, güneş enerjisi santrali (GES) yatırımları. 
                    - %40 İşletme sermayesi. 
* Taslak İzahname, Sayfa 226.
","
                    - 30 gün. 
* Taslak İzahname, Sayfa 162.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 163.
","
                    - %28,85. 
* Taslak İzahname, Sayfa 144.
",Şehir : İstanbul,Kuruluş Tarihi : 22.05.2007,"; - Hasılat, 1,5 Milyar TL, 2,6 Milyar TL, 2,8 Milyar TL; - Brüt Kâr, 64,6 Milyon TL, 92,8 Milyon TL, 179,5 Milyon TL"
Ahlatcı Yatırım Menkul Değerler A.Ş.,,,,,,,Şehir : İstanbul,Kuruluş Tarihi : 30.12.2015,
Oba Makarnacılık San. ve Tic. A.Ş.,22-23 Şubat 2024,"
                    - Sermaye Artırımı : 72.252.259 Lot
                    - Ortak Satışı : 12.042.043 Lot (Alpinvest Yatırım Gıda San. ve Tic. A.Ş.)
                    - Ortak Satışı : 12.042.043 Lot (Turkey Pasta Holding Limited)
* SPK Bülteni, 2024/11.
","
                    - %40-50 Ürün çeşitlendirme, enerji ve kapasite artışı yatırımları. 
                    - %30-40 İşletne sermayesi. 
                    - %10-20 Finansal borçların azaltılması. 
* İzahname, Sayfa 258.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
                    (Ünlü Menkul Değerler A.Ş.)
* İzahname, Sayfa 256.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 257.
","
                    - %20,09. 
* İzahname, Sayfa 213.
",Şehir : Gaziantep,Kuruluş Tarihi : 13.01.1966,"; - Hasılat, 11,9 Milyar TL, 11,0 Milyar TL, 5,2 Milyar TL; - Brüt Kar, 1,6 Milyar TL, 1,3 Milyar TL, 1,1 Milyar TL"
(Intercity) Ekim Turizm Tic. ve San. A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 19.146.205 Lot
                    - Ortak Satışı : 5.743.861 Lot (Ali Vural Ak)
                    - Ek Ortak Satışı : 3.829.241 Lot (Ali Vural Ak)
* Taslak İzahname, Sayfa 1.
","
                    - %65 Kiralamada kullanılacak kara araçlarının satın alınması. 
                    - %10 İşletme sermayesi. 
                    - %25 Kredi borçlarının ödenmesi. 
* Taslak İzahname, Sayfa 290.
","
                    - 30 gün. * Ek satışdan elde edilen gelir kullanılacaktır. 
* Taslak İzahname, Sayfa 285.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 288.
","
                    - %25. Ek satış dahil.
* Taslak İzahname, Sayfa 264.
",Şehir : İstanbul,Kuruluş Tarihi : 03.02.1992,"; - Hasılat, 4,2 Milyar TL, 3,1 Milyar TL, 1,8 Milyar TL; - Brüt Kâr, 3,0 Milyar TL, 2,1 Milyar TL, 932,9 Milyon TL"
Kıraç Galvaniz Telekominikasyon Metal Makine İnşaat Elektrik San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 45.000.000 Lot
* Taslak İzahname, Sayfa 1.
","
                    - %40 İşletme sermayesi. 
                    - %35 Yeni tesis yatırımı. 
                    - %15 Finansal borç ödemeleri. 
                    - %7.5 Makine yatırım finansmanı. 
                    - %2.5 Yurt dışı pazar payının güçlendirilmesi. 
* Taslak İzahname, Sayfa 197.
","
                    - Planlanmamaktadır. 
* Taslak İzahname, Sayfa 194.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 195.
","
                    - %26,47. 
* Taslak İzahname, Sayfa 176.
",Şehir : Bursa,Kuruluş Tarihi : 23.05.2006,"; - Hasılat, 1,0 Milyar TL, 749,1 Milyon TL, 418,4 Milyon TL; - Brüt Kâr, 410,3 Milyon TL, 186,5 Milyon TL, 84,7 Milyon TL"
Uras Kimya San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 11.340.000 Lot
                    - Ortak Satışı : 4.860.000 Lot (Murat Özavşar)
* Taslak İzahname, Sayfa 1.
","
                    - %60 Finansal borcun kapatılması. 
                    - %40 İhracat yapılan ülkelerde satış ağının kurulması. 
* Taslak İzahname, Sayfa 160.
","
                    - Planlanmamaktadır. 
* Taslak İzahname, Sayfa 157.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 158.
","
                    - %25,24. 
* Taslak İzahname, Sayfa 145.
",Şehir : İstanbul,Kuruluş Tarihi : 19.08.1997,"; - Hasılat, 337,0 Milyon TL, 409,8 Milyon TL, 216,1 Milyon TL; - Brüt Kâr, 125,5 Milyon TL, 143,8 Milyon TL, 75,4 Milyon TL"
Güllük Mandalya Turizm Liman İşletmeleri A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 7.200.000 Lot
                    - Ortak Satışı : 12.600.000 Lot (Gülport Liman Hizmetleri Tic. A.Ş.)
                    - Ortak Satışı : 4.200.000 Lot (Maruf İnşaat ve Tic. A.Ş.)
* Taslak İzahname, Sayfa 1.
","
                    - %30 Liman vinci ve iş makinesi yatırımları. 
                    - %20 İskele tamiratları, ilave iskele yatırımları. 
                    - %25 Geri saha açık ve kapalı depo yapımı.  
                    - %10 Güneş enerjisi santrali yatırımlarının finansmanı.  
                    - %15 Diğer kullanım.  
* Taslak izahname, Sayfa 194.
","
                    - %15,27. 
* Taslak İzahname, Sayfa 171.
",,,Şehir : Muğla,Kuruluş Tarihi : 18.08.1989,
Akfen İnşaat Turizm ve Ticaret A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 100.542.838 Lot
                    - Ortak Satışı : 100.542.838 Lot (Akfen Holding A.Ş.)
* Taslak İzahname, Sayfa 1.
","
                    - %35-45 Finansal borçluluk seviyesinin azaltılması. 
                    - %55-65 Yatırım finansmanı. 
                    - %15 İşletme sermayesi. 
* Taslak İzahname, Sayfa 311.
","
                    - Planlanmamaktadır. 
* Taslak İzahname, Sayfa 304.
","
                    - 6 Ay, İhraççı. 
                    - 6 Ay, Ortaklar. 
* Taslak İzahname, Sayfa 309.
","
                    - %30. 
* Taslak İzahname, Sayfa 287.
",Şehir : Ankara,Kuruluş Tarihi : 06.10.1986,"; - Hasılat, 2,3 Milyar TL, 1,5 Milyar TL, 1,7 Milyar TL; - Brüt Kâr, (-)52,7 Milyon TL, (-)37,3 Milyon TL, 160,2 Milyon TL"
Altınay Savunma Teknolojileri A.Ş.,8-9-10 Mayıs 2024,"
                    - Sermaye Artırımı : 35.294.118 Lot
                    - Ortak Satışı : 11.764.706 Lot (Hakan Altınay)
                    - Ortak Satışı : 11.764.706 Lot (Letven Capital Girişim Sermayesi Portföy Yönetimi A.Ş. Milres Girişim Sermayesi Yatırım Fonu)
* SPK Bülteni, 2024/22.
","
                    - %50 Yeni tesis ve üretim teknolojileri yatırımları. 
                    - %15 Test ve doğrulama teknolojileri ile ar-ge ve ür-ge yatırımları. 
                    - %5 Global satış ve pazarlama ağı yatırımları. 
                    - %15 İşletme sermayesi. 
                    - %5 Finansal borç ödemeleri. 
                    - %10 Şirket satın alımı ve/veya iş ortaklıkları kurulması. 
* İzahname, Sayfa 346.
","
                    - 15 gün. * halka arz gelirinin %25'i. 
                    (Ziraat Yatırım Menkul Değerler A.Ş.) 
* İzahname, Sayfa 342.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 344.
","
                    - %25. 
* İzahname, Sayfa 299.
",Şehir : İstanbul,Kuruluş Tarihi : 27.05.2014,"; - Hasılat, 1,1 Milyar TL, 588,7 Milyon TL, 262,6 Milyon TL; - Brüt Kâr, 465,6 Milyon TL, 300,8 Milyon TL, 166,6 Milyon TL"
