Şirket İsmi,Arz Tarihi,Arz Şekli,Fonun Kullanım Yeri,Fiyat İstikrarı,Satmama Taahhüdü,Halka Açıklık Oranı,Şehir,Kuruluş Yılı,Gelir Tablosu Verileri
-,-,-,-,-,-,-,-,-,
Şeker Yatırım Menkul Değerler A.Ş.,30 Kasım - 1 Aralık 2023,"
                    - Sermaye Artırımı : 35.000.000 Lot
                    - Ortak Satışı : 17.500.000 Lot (Şekerbank T.A.Ş.)
* SPK Bülteni, 2023/74. 
","
                    - %100 İşletme sermayesi. 
* İzahname, Sayfa 143.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 141.
","
                    - %33,87. 
* İzahname, Sayfa 130.
","
                    - %20,24. 
* Fiyat Tespit Raporu, Sayfa 38.
",Şehir : İstanbul,Kuruluş Tarihi : 30.12.1996,
(binbin) Bin Ulaşım ve Akıllı Şehir Teknolojileri A.Ş.,-,-,-,-,-,-,Şehir : İstanbul,Kuruluş Tarihi : 02.09.2019,
-,-,-,-,-,-,-,-,-,
Alves Kablo San. ve Tic. A.Ş.,22-23 Şubat 2024,"
                    - Sermaye Artırımı : 40.000.000 Lot
* SPK Bülteni, 2024/11.
","
                    - %35-40 İhracata yönelik üretim kapasite artırımı için makine ve teknolojik yatırımlar. 
                    - %30-35 Finansal borçların geri ödemesi. 
                    - %30-35 İşletme sermayesi. 
* İzahname, Sayfa 261.
","
                    - Planlanmamaktadır. 
* İzahname, Sayfa 257.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 258.
","
                    - %25. 
* İzahname, Sayfa 218.
",Şehir : Ankara,Kuruluş Tarihi : 01.11.2016,"; - Hasılat, 1,6 Milyar TL, 808,5 Milyon TL, 423,3 Milyon TL; - Brüt Kar, 238,2 Milyon TL, 98,5 Milyon TL, 42,7 Milyon TL"
Güllük Mandalya Turizm Liman İşletmeleri A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 7.200.000 Lot
                    - Ortak Satışı : 12.600.000 Lot (Gülport Liman Hizmetleri Tic. A.Ş.)
                    - Ortak Satışı : 4.200.000 Lot (Maruf İnşaat ve Tic. A.Ş.)
* Taslak İzahname, Sayfa 1.
","
                    - %30 Liman vinci ve iş makinesi yatırımları. 
                    - %20 İskele tamiratları, ilave iskele yatırımları. 
                    - %25 Geri saha açık ve kapalı depo yapımı.  
                    - %10 Güneş enerjisi santrali yatırımlarının finansmanı.  
                    - %15 Diğer kullanım.  
* Taslak izahname, Sayfa 194.
","
                    - %15,27. 
* Taslak İzahname, Sayfa 171.
",-,-,Şehir : Muğla,Kuruluş Tarihi : 18.08.1989,
Ahes Gayrimenkul Yatırım Ortaklığı A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 50.000.000 Lot
* Taslak İzahname, Sayfa 1.
","
                    - %5-10 Finansal borç ödemesi. 
                    - %5-10 İştirak firmalarının sermaye ödemeleri. 
                    - %80-90 Mevcut arsaların geliştirme ve inşaat finansmanı. 
* Taslak İzahname, Sayfa 170.
","
                    - *** gün. 
* Taslak İzahname, Sayfa 166.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 167.
","
                    - %25,64. 
* Taslak İzahname, Sayfa 149.
",Şehir : İstanbul,Kuruluş Tarihi : 03.01.2012,"; - Hasılat, 25,9 Milyon TL, 35,5 Milyon TL, 31,8 Milyon TL; - Brüt Kâr, 25,9 Milyon TL, 35,5 Milyon TL, 31,8 Milyon TL"
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
Arf Bio Yenilenebilir Enerji Üretim A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 35.200.000 Lot
                    - Ortak Satışı : 8.800.000 Lot (Re-Pie Portföy Yönetimi A.Ş. Arf Girişim Sermayesi Yatırım Fonu)
* Taslak İzahname, Sayfa 1.
","
- İlerleyen aşamalarda tamamlanacaktır.
","
","
                    - Planlanmamaktadır. 
* Taslak İzahname, Sayfa 107.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 108.
",Şehir : Ankara,Kuruluş Tarihi : 2016,"; - Hasılat, 91,4 Milyon TL, 163,2 Milyon TL, -; - Brüt Kâr, 19,3 Milyon TL, 134,3 Milyon TL, -"
