Şirket İsmi,Arz Tarihi,Arz Şekli,Fonun Kullanım Yeri,Fiyat İstikrarı,Satmama Taahhüdü,Halka Açıklık Oranı,Şehir,Kuruluş Yılı,Gelir Tablosu Verileri
Oba Makarnacılık San. ve Tic. A.Ş.,22-23 Şubat 2024,"
                    - Sermaye Artırımı : 72.252.259 Lot
                    - Ortak Satışı : 12.042.043 Lot (Alpinvest Yatırım Gıda San. ve Tic. A.Ş.)
                    - Ortak Satışı : 12.042.043 Lot (Turkey Pasta Holding Limited)
* SPK Bülteni, 2024/11.
","
                    - %40-50 Ürün çeşitlendirme, enerji ve kapasite artışı yatırımları. 
                    - %30-40 İşletne sermayesi. 
                    - %10-20 Finansal borçların azaltılması. 
* İzahname, Sayfa 258.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
                    (Ünlü Menkul Değerler A.Ş.)
* İzahname, Sayfa 256.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 257.
","
                    - %20,09. 
* İzahname, Sayfa 213.
",Şehir : Gaziantep,Kuruluş Tarihi : 13.01.1966,"; - Hasılat, 11,9 Milyar TL, 11,0 Milyar TL, 5,2 Milyar TL; - Brüt Kar, 1,6 Milyar TL, 1,3 Milyar TL, 1,1 Milyar TL"
Altınay Savunma Teknolojileri A.Ş.,8-9-10 Mayıs 2024,"
                    - Sermaye Artırımı : 35.294.118 Lot
                    - Ortak Satışı : 11.764.706 Lot (Hakan Altınay)
                    - Ortak Satışı : 11.764.706 Lot (Letven Capital Girişim Sermayesi Portföy Yönetimi A.Ş. Milres Girişim Sermayesi Yatırım Fonu)
* SPK Bülteni, 2024/22.
","
                    - %50 Yeni tesis ve üretim teknolojileri yatırımları. 
                    - %15 Test ve doğrulama teknolojileri ile ar-ge ve ür-ge yatırımları. 
                    - %5 Global satış ve pazarlama ağı yatırımları. 
                    - %15 İşletme sermayesi. 
                    - %5 Finansal borç ödemeleri. 
                    - %10 Şirket satın alımı ve/veya iş ortaklıkları kurulması. 
* İzahname, Sayfa 346.
","
                    - 15 gün. * halka arz gelirinin %25'i. 
                    (Ziraat Yatırım Menkul Değerler A.Ş.) 
* İzahname, Sayfa 342.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 344.
","
                    - %25. 
* İzahname, Sayfa 299.
",Şehir : İstanbul,Kuruluş Tarihi : 27.05.2014,"; - Hasılat, 1,1 Milyar TL, 588,7 Milyon TL, 262,6 Milyon TL; - Brüt Kâr, 465,6 Milyon TL, 300,8 Milyon TL, 166,6 Milyon TL"
Koç Metalurji A.Ş.,9-10 Mayıs 2024,"
                    - Sermaye Artırımı : 105.000.000 Lot
                    - Ortak Satışı : 20.000.000 Lot (Adil Koç)
* SPK Bülteni, 2024/22.
","
                    - %35 Hammadde yatırımı. 
                    - %10 Mevcut üretim tesisinin modernizasyonu. 
                    - %35 Yenilenebilir enerji yatırımlarının finansmanı. 
                    - %20 Hammadde tedariki ve işletme sermayesi. 
* İzahname, Sayfa 201.
","
                    - Planlanmamaktadır. 
* İzahname, Sayfa 196.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 198.
","
                    - %27,47. 
* İzahname, Sayfa 157.
",Şehir : Hatay,Kuruluş Tarihi : 18.11.1993,"; - Hasılat, 10,9 Milyar TL, 10,9 Milyar TL, 17,9 Milyar TL; - Brüt Kâr, 794,8 Milyon TL, 454,5 Milyon TL, 1,4 Milyar TL"
Yiğit Akü Malzemeleri Nakliyat Turizm İnşaat San. ve Tic. A.Ş.,29-30-31 Mayıs 2024,"
                    - Sermaye Artırımı : 50.500.000 Lot
                    - Ortak Satışı : 10.500.000 Lot (Hamit Yiğit)
                    - Ortak Satışı : 7.000.000 Lot (Mahmut Yiğit)
                    - Ortak Satışı : 7.000.000 Lot (Eyüp Yiğit)
* SPK Bülteni, 2024/26.
","
                    - %20 Üretim tesisi ve yeni ürün yatırımları. 
                    - %40 Lityum batarya fabrikası yatırımları. 
                    - %30 İşletme sermayesi. 
                    - %10 Finansal borçların ödenmesi. 
* İzahname, Sayfa 225.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
                    (Halk Yatırım Menkul Değerler A.Ş.) 
* İzahname, Sayfa 222.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 224.
","
                    - %24,96. 
* İzahname, Sayfa 182.
",Şehir : Ankara,Kuruluş Tarihi : 16.11.1981,"; - Hasılat, 6,2 Milyar TL, 8,0 Milyar TL, 6,3 Milyar TL; - Brüt Kâr, 1,1 Milyar TL, 857,1 Milyon TL, 686,1 Milyon TL"
Koton Mağazacılık Tekstil San. ve Tic. A.Ş.,30 Nisan - 2-3 Mayıs 2024,"
                    - Sermaye Artırımı : 34.150.000 Lot
                    - Ortak Satışı : 94.350.000 Lot (Nemo Apparel B.V.)
                    - Ortak Satışı : 4.050.000 Lot (Yılmaz Yılmaz)
                    - Ortak Satışı : 4.050.000 Lot (Şükriye Gülden Yılmaz)
* SPK Bülteni, 2024/21.
","
                    - %30-40 Yurt içi ve yurt dışı mağaza açılışları ve yenilemeleri, depo otomasyon yatırımları ile bilgi teknolojileri yatırımları. 
                    - %60-70 İşletme sermayesi. 
* İzahname, Sayfa 378.
","
                    - 15 gün. * Brüt halka arz gelirinin %20'si. 
                    (İş Yatırım Menkul Değerler A.Ş.) 
* İzahname, Sayfa 372.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 375.
","
                    - %16,5. 
* İzahname, Sayfa 320.
",Şehir : İstanbul,Kuruluş Tarihi : 26.12.1994,"; - Hasılat, 17,1 Milyar TL, 16,0 Milyar TL, 14,3 Milyar TL; - Brüt Kâr, 8,9 Milyar TL, 8,4 Milyar TL, 6,2 Milyar TL"
Artemis Halı A.Ş.,27-28 Şubat 2024,"
                    - Sermaye Artırımı : 20.000.000 Lot
* SPK Bülteni, 2024/12.
","
                    - %40-50 Makine & teçhizat yatırımları, çatı güneş enerjisi santrali (GES) yatırımları. 
                    - %25-30 Finansal borçların geri ödemesi. 
                    - %25-30 İşletme sermayesi. 
* İzahname, Sayfa 198.
","
                    - Planlanmamaktadır. 
* İzahname, Sayfa 195.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 196.
","
                    - %28,57. 
* İzahname, Sayfa 184.
",Şehir : İstanbul,Kuruluş Tarihi : 16.07.2012,"; - Hasılat, 517,4 Milyon TL, 313,0 Milyon TL, 217,2 Milyon TL; - Brüt Kar, 177,3 Milyon TL, 127,9 Milyon TL, 58,3 Milyon TL"
Limak Doğu Anadolu Çimento San. ve Tic. A.Ş.,14-15-16 Şubat 2024,"
                    - Sermaye Artırımı : 130.000.000 Lot
                    - Ortak Satışı : 25.930.000 Lot (Limak Çimento San. ve Tic. A.Ş.)
* SPK Bülteni, 2024/9.
","
                    - %100 Ergani Fabrikası'nın devralınması. 
* İzahname, Sayfa 215.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
* İzahname, Sayfa 211.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 212.
","
                    - %30,21. 
* İzahname, Sayfa 172.
",Şehir : Siirt,Kuruluş Tarihi : 23.11.1998,"; - Hasılat, 1,4 Milyar TL, 1,1 Milyar TL, 535,7 Milyon TL; - Brüt Kâr, 680,7 Milyon TL, 355,8 Milyon TL, 41,2 Milyon TL"
Pasifik Donanım ve Yazılım Bilgi Teknolojileri A.Ş.,6-7 Şubat 2024,"
                    - Sermaye Artırımı : 14.000.000 Lot
                    - Ortak Satışı : 4.333.334 Lot (Fatih Erdoğan)
                    - Ortak Satışı : 4.333.333 Lot (Abdulkerim Fırat)
                    - Ortak Satışı : 4.333.333 Lot (Mehmet Erdoğan)
* SPK Bülteni, 2024/7.
","
                    - %45 Yatırım harcamaları. 
                    - %35 Ar-Ge yeni ürün yatırımları. 
                    - %20 İşletme sermayesi. 
* İzahname, Sayfa 213.
","
                    - 30 Gün  * Brüt halka arz gelirinin %10'u. 
* İzahname, Sayfa 209.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 211.
","
                    - %20,15. 
* İzahname, Sayfa 172.
",Şehir : İstanbul,Kuruluş Tarihi : 05.06.2015,"; - Hasılat, 481,0 Milyon TL, 403,5 Milyon TL, 258,2 Milyon TL; - Brüt Kar, 117,3 Milyon TL, 65,4 Milyon TL, 62,7 Milyon TL"
Lila Kağıt San. ve Tic. A.Ş.,30 Nisan - 2-3 Mayıs 2024,"
                    - Sermaye Artırımı : 90.000.000 Lot
                    - Ortak Satışı : 5.172.000 Lot (Orhan Öğücü)
                    - Ortak Satışı : 3.234.000 Lot (Celal Öğücü)
                    - Ortak Satışı : 3.999.000 Lot (Aydın Öğücü)
                    - Ortak Satışı : 3.096.000 Lot (Hatice Öğücü)
                    - Ortak Satışı : 2.670.000 Lot (Burcu Öğücü Giritli)
                    - Ortak Satışı : 2.178.000 Lot (Alp Öğücü)
                    - Ortak Satışı : 2.070.000 Lot (Duygu Öğücü)
                    - Ortak Satışı : 1.956.000 Lot (Huriye Öğücü)
                    - Ortak Satışı : 1.674.000 Lot (Nuray Darıcı)
                    - Ortak Satışı : 1.527.000 Lot (Murat Öğücü)
                    - Ortak Satışı : 1.518.000 Lot (İrem Öğücü Öngen)
                    - Ortak Satışı : 453.000 Lot (Nazlı Gözübüyük)
                    - Ortak Satışı : 453.000 Lot (Onur Öğücü)
* SPK Bülteni, 2024/21.
","
                    - %30 Erzurum fabrika yatırımı. 
                    - %15 Ergene fabrika yatırımları. 
                    - %15 Yenilenebilir enerji yatırımı. 
                    - %30 İşletme sermayesi. 
                    - %10 Finansal borçluluk seviyesinin azaltılması. 
* İzahname, Sayfa 333.
","
                    - 15 gün. * Brüt halka arz gelirinin %15'i. 
                    (Ak Yatırım Menkul Değerler A.Ş.)
* İzahname, Sayfa 328.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 331.
","
                    - %20,34. 
* İzahname, Sayfa 274.
",Şehir : İstanbul,Kuruluş Tarihi : 17.01.1984,"; - Hasılat, 9,3 Milyar TL, 12,6 Milyar TL, 6,5 Milyar TL; - Brüt Kar, 2,8 Milyar TL, 4,3 Milyar TL, 2,2 Milyar TL"
Özyaşar Tel ve Galvanizleme San. A.Ş.,23-24 Mayıs 2024,"
                    - Sermaye Artırımı : 18.200.000 Lot
                    - Ortak Satışı : 6.240.000 Lot (Çokyaşar Holding A.Ş.)
                    - Ortak Satışı : 780.000 Lot (Derviş Ali Çokyaşar)
                    - Ortak Satışı : 780.000 Lot (Ömer Çokyaşar)
                    - Ek Ortak Satışı : 4.160.000 Lot (Çokyaşar Holding A.Ş.)
                    - Ek Ortak Satışı : 520.000 Lot (Derviş Ali Çokyaşar)
                    - Ek Ortak Satışı : 520.000 Lot (Ömer Çokyaşar)
* SPK Bülteni, 2024/25.
","
                    - %30 İşletme sermayesi. 
                    - %40 Finansman maliyetinin azaltılması. 
                    - %30 Yatırım finansmanı ve makine/teçhizat alımları. 
* İzahname, Sayfa 237.
","
","
                    - 30 gün. 
* İzahname, Sayfa 232.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 235.
",Şehir : İstanbul,Kuruluş Tarihi : 14.03.1973,"; - Hasılat, 4,8 Milyar TL, 6,3 Milyar TL, 5,4 Milyar TL; - Brüt Kar, 707,4 Milyon TL, 958,2 Milyon TL, 903,8 Milyon TL"
